Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type
306.0,20.0,50.0,60.0,110.0,5,02/01/11 00:00:00,Espresso,Caffe Mocha,Regular
313.0,30.0,50.0,70.0,120.0,5,04/01/11 00:00:00,Espresso,Caffe Mocha,Regular
391.0,20.0,50.0,60.0,110.0,5,11/01/11 00:00:00,Espresso,Caffe Mocha,Regular
965.0,60.0,60.0,80.0,140.0,6,01/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
965.0,60.0,60.0,80.0,140.0,6,04/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
995.0,60.0,70.0,90.0,160.0,6,05/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1073.0,90.0,90.0,120.0,210.0,6,08/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1063.0,70.0,70.0,100.0,170.0,6,09/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1063.0,40.0,70.0,80.0,150.0,6,11/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
950.0,50.0,60.0,80.0,140.0,6,03/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
965.0,60.0,60.0,80.0,140.0,6,04/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
995.0,60.0,70.0,90.0,160.0,6,05/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
1063.0,70.0,70.0,100.0,170.0,6,09/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
961.0,120.0,100.0,170.0,270.0,8,01/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
945.0,120.0,110.0,170.0,280.0,8,02/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
932.0,120.0,100.0,170.0,270.0,8,03/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
1020.0,100.0,90.0,150.0,240.0,8,05/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
1102.0,90.0,70.0,130.0,200.0,8,06/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
1119.0,130.0,90.0,160.0,250.0,8,10/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
1134.0,120.0,120.0,180.0,300.0,8,11/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
945.0,120.0,110.0,170.0,280.0,8,02/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
962.0,110.0,90.0,160.0,250.0,8,04/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
1134.0,120.0,120.0,180.0,300.0,8,11/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
793.0,50.0,30.0,50.0,80.0,9,05/01/10 00:00:00,Herbal Tea,Lemon,Decaf
793.0,50.0,30.0,50.0,80.0,9,05/01/11 00:00:00,Herbal Tea,Lemon,Decaf
346.0,40.0,40.0,70.0,110.0,11,03/01/10 00:00:00,Tea,Darjeeling,Regular
329.0,40.0,20.0,50.0,70.0,11,10/01/10 00:00:00,Tea,Darjeeling,Regular
372.0,40.0,40.0,70.0,110.0,11,02/01/11 00:00:00,Tea,Darjeeling,Regular
371.0,30.0,30.0,50.0,80.0,11,06/01/11 00:00:00,Tea,Darjeeling,Regular
349.0,40.0,30.0,70.0,100.0,11,09/01/11 00:00:00,Tea,Darjeeling,Regular
382.0,40.0,30.0,60.0,90.0,12,02/01/10 00:00:00,Tea,Earl Grey,Regular
443.0,20.0,20.0,40.0,60.0,12,06/01/10 00:00:00,Tea,Earl Grey,Regular
458.0,30.0,20.0,40.0,60.0,12,08/01/10 00:00:00,Tea,Earl Grey,Regular
454.0,30.0,30.0,50.0,80.0,12,11/01/10 00:00:00,Tea,Earl Grey,Regular
390.0,40.0,40.0,60.0,100.0,12,01/01/11 00:00:00,Tea,Earl Grey,Regular
376.0,30.0,30.0,50.0,80.0,12,03/01/11 00:00:00,Tea,Earl Grey,Regular
388.0,20.0,30.0,40.0,70.0,12,04/01/11 00:00:00,Tea,Earl Grey,Regular
443.0,20.0,20.0,40.0,60.0,12,06/01/11 00:00:00,Tea,Earl Grey,Regular
458.0,30.0,20.0,40.0,60.0,12,08/01/11 00:00:00,Tea,Earl Grey,Regular
454.0,30.0,30.0,50.0,80.0,12,11/01/11 00:00:00,Tea,Earl Grey,Regular
605.0,30.0,40.0,50.0,90.0,4,04/01/10 00:00:00,Espresso,Caffe Latte,Regular
599.0,40.0,40.0,60.0,100.0,4,05/01/10 00:00:00,Espresso,Caffe Latte,Regular
593.0,40.0,40.0,60.0,100.0,4,06/01/10 00:00:00,Espresso,Caffe Latte,Regular
587.0,50.0,40.0,70.0,110.0,4,07/01/10 00:00:00,Espresso,Caffe Latte,Regular
581.0,30.0,20.0,40.0,60.0,4,08/01/10 00:00:00,Espresso,Caffe Latte,Regular
577.0,30.0,30.0,40.0,70.0,4,09/01/10 00:00:00,Espresso,Caffe Latte,Regular
573.0,20.0,10.0,20.0,30.0,4,10/01/10 00:00:00,Espresso,Caffe Latte,Regular
623.0,40.0,40.0,60.0,100.0,4,01/01/11 00:00:00,Espresso,Caffe Latte,Regular
599.0,40.0,40.0,60.0,100.0,4,05/01/11 00:00:00,Espresso,Caffe Latte,Regular
587.0,50.0,40.0,70.0,110.0,4,07/01/11 00:00:00,Espresso,Caffe Latte,Regular
573.0,20.0,10.0,20.0,30.0,4,10/01/11 00:00:00,Espresso,Caffe Latte,Regular
567.0,20.0,20.0,30.0,50.0,4,12/01/11 00:00:00,Espresso,Caffe Latte,Regular
1215.0,-80.0,160.0,-30.0,130.0,1,05/01/10 00:00:00,Coffee,Amaretto,Regular
1832.0,-150.0,190.0,-90.0,100.0,1,07/01/10 00:00:00,Coffee,Amaretto,Regular
608.0,30.0,110.0,70.0,180.0,1,01/01/11 00:00:00,Coffee,Amaretto,Regular
2947.0,-90.0,150.0,-30.0,120.0,1,12/01/11 00:00:00,Coffee,Amaretto,Regular
2108.0,400.0,350.0,540.0,890.0,2,04/01/10 00:00:00,Coffee,Columbian,Regular
2108.0,400.0,350.0,540.0,890.0,2,04/01/11 00:00:00,Coffee,Columbian,Regular
659.0,40.0,50.0,80.0,130.0,13,11/01/11 00:00:00,Tea,Green Tea,Regular
788.0,30.0,110.0,160.0,270.0,5,05/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1744.0,210.0,240.0,310.0,550.0,6,12/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1744.0,210.0,240.0,310.0,550.0,6,12/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
809.0,100.0,80.0,120.0,200.0,8,02/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
1268.0,200.0,210.0,270.0,480.0,9,09/01/10 00:00:00,Herbal Tea,Lemon,Decaf
1268.0,200.0,210.0,270.0,480.0,9,09/01/11 00:00:00,Herbal Tea,Lemon,Decaf
541.0,40.0,20.0,40.0,60.0,10,10/01/10 00:00:00,Herbal Tea,Mint,Decaf
897.0,90.0,70.0,110.0,180.0,11,06/01/10 00:00:00,Tea,Darjeeling,Regular
580.0,50.0,30.0,50.0,80.0,12,10/01/10 00:00:00,Tea,Earl Grey,Regular
1213.0,270.0,300.0,360.0,660.0,2,06/01/10 00:00:00,Coffee,Columbian,Regular
952.0,120.0,80.0,140.0,220.0,5,07/01/10 00:00:00,Espresso,Caffe Mocha,Regular
915.0,100.0,70.0,120.0,190.0,5,10/01/10 00:00:00,Espresso,Caffe Mocha,Regular
941.0,120.0,100.0,150.0,250.0,5,08/01/11 00:00:00,Espresso,Caffe Mocha,Regular
589.0,40.0,30.0,60.0,90.0,6,11/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
428.0,30.0,30.0,50.0,80.0,9,08/01/11 00:00:00,Herbal Tea,Lemon,Decaf
460.0,100.0,80.0,130.0,210.0,13,04/01/10 00:00:00,Tea,Green Tea,Regular
456.0,70.0,50.0,90.0,140.0,13,01/01/11 00:00:00,Tea,Green Tea,Regular
499.0,100.0,90.0,130.0,220.0,13,05/01/11 00:00:00,Tea,Green Tea,Regular
3641.0,-210.0,130.0,-70.0,60.0,5,12/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1382.0,-190.0,120.0,-60.0,60.0,5,04/01/11 00:00:00,Espresso,Caffe Mocha,Regular
2615.0,-260.0,160.0,-90.0,70.0,5,08/01/11 00:00:00,Espresso,Caffe Mocha,Regular
1565.0,180.0,210.0,290.0,500.0,9,08/01/11 00:00:00,Herbal Tea,Lemon,Decaf
3948.0,-180.0,190.0,-110.0,80.0,10,09/01/10 00:00:00,Herbal Tea,Mint,Decaf
1007.0,160.0,130.0,200.0,330.0,11,07/01/10 00:00:00,Tea,Darjeeling,Regular
1007.0,160.0,130.0,200.0,330.0,11,07/01/11 00:00:00,Tea,Darjeeling,Regular
1271.0,210.0,240.0,290.0,530.0,7,05/01/10 00:00:00,Espresso,Regular Espresso,Regular
1197.0,450.0,210.0,510.0,720.0,7,10/01/11 00:00:00,Espresso,Regular Espresso,Regular
2067.0,360.0,320.0,480.0,800.0,2,02/01/11 00:00:00,Coffee,Columbian,Regular
2617.0,520.0,450.0,680.0,1130.0,2,08/01/11 00:00:00,Coffee,Columbian,Regular
2580.0,310.0,290.0,450.0,740.0,2,11/01/11 00:00:00,Coffee,Columbian,Regular
677.0,50.0,40.0,80.0,120.0,13,12/01/10 00:00:00,Tea,Green Tea,Regular
1310.0,200.0,220.0,300.0,520.0,6,01/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1686.0,220.0,240.0,320.0,560.0,6,09/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
1691.0,190.0,220.0,290.0,510.0,6,11/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
984.0,80.0,70.0,110.0,180.0,8,11/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
923.0,170.0,180.0,230.0,410.0,9,03/01/10 00:00:00,Herbal Tea,Lemon,Decaf
1272.0,160.0,210.0,240.0,450.0,9,11/01/10 00:00:00,Herbal Tea,Lemon,Decaf
554.0,40.0,40.0,60.0,100.0,10,08/01/11 00:00:00,Herbal Tea,Mint,Decaf
930.0,110.0,80.0,130.0,210.0,11,11/01/10 00:00:00,Tea,Darjeeling,Regular
1819.0,170.0,250.0,260.0,510.0,4,07/01/11 00:00:00,Espresso,Caffe Latte,Regular
1797.0,170.0,250.0,260.0,510.0,4,08/01/11 00:00:00,Espresso,Caffe Latte,Regular
1268.0,280.0,310.0,370.0,680.0,2,09/01/10 00:00:00,Coffee,Columbian,Regular
603.0,110.0,100.0,140.0,240.0,3,03/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
541.0,80.0,40.0,90.0,130.0,3,10/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
601.0,40.0,40.0,60.0,100.0,6,12/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
449.0,90.0,60.0,100.0,160.0,6,02/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
329.0,50.0,50.0,80.0,130.0,8,02/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
323.0,50.0,50.0,80.0,130.0,8,03/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
420.0,30.0,40.0,60.0,100.0,8,07/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
435.0,30.0,30.0,60.0,90.0,9,12/01/10 00:00:00,Herbal Tea,Lemon,Decaf
361.0,40.0,50.0,70.0,120.0,1,05/01/11 00:00:00,Coffee,Amaretto,Regular
410.0,50.0,50.0,80.0,130.0,1,09/01/11 00:00:00,Coffee,Amaretto,Regular
503.0,30.0,40.0,70.0,110.0,3,10/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
1304.0,120.0,160.0,180.0,340.0,5,07/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1091.0,130.0,180.0,200.0,380.0,5,04/01/11 00:00:00,Espresso,Caffe Mocha,Regular
1156.0,120.0,170.0,180.0,350.0,5,05/01/11 00:00:00,Espresso,Caffe Mocha,Regular
1304.0,120.0,160.0,180.0,340.0,5,07/01/11 00:00:00,Espresso,Caffe Mocha,Regular
361.0,20.0,60.0,70.0,130.0,6,05/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
414.0,20.0,50.0,70.0,120.0,6,08/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
454.0,30.0,10.0,30.0,40.0,8,04/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
478.0,20.0,10.0,20.0,30.0,8,06/01/11 00:00:00,Herbal Tea,Chamomile,Decaf
500.0,60.0,70.0,100.0,170.0,12,01/01/10 00:00:00,Tea,Earl Grey,Regular
862.0,130.0,150.0,210.0,360.0,2,01/01/10 00:00:00,Coffee,Columbian,Regular
829.0,140.0,160.0,220.0,380.0,2,03/01/10 00:00:00,Coffee,Columbian,Regular
865.0,170.0,200.0,270.0,470.0,2,04/01/10 00:00:00,Coffee,Columbian,Regular
833.0,170.0,160.0,230.0,390.0,3,07/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
608.0,100.0,100.0,140.0,240.0,3,01/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
1316.0,280.0,290.0,400.0,690.0,5,04/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1260.0,260.0,280.0,380.0,660.0,5,03/01/11 00:00:00,Espresso,Caffe Mocha,Regular
1464.0,200.0,270.0,290.0,560.0,6,04/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
584.0,60.0,70.0,90.0,160.0,9,05/01/10 00:00:00,Herbal Tea,Lemon,Decaf
456.0,50.0,40.0,70.0,110.0,11,01/01/10 00:00:00,Tea,Darjeeling,Regular
598.0,100.0,80.0,130.0,210.0,11,08/01/10 00:00:00,Tea,Darjeeling,Regular
580.0,80.0,50.0,80.0,130.0,11,10/01/10 00:00:00,Tea,Darjeeling,Regular
456.0,50.0,40.0,70.0,110.0,11,01/01/11 00:00:00,Tea,Darjeeling,Regular
1167.0,190.0,200.0,290.0,490.0,2,08/01/11 00:00:00,Coffee,Columbian,Regular
1742.0,340.0,330.0,470.0,800.0,5,07/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1691.0,290.0,290.0,390.0,680.0,5,11/01/10 00:00:00,Espresso,Caffe Mocha,Regular
756.0,90.0,70.0,110.0,180.0,8,03/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
777.0,100.0,70.0,120.0,190.0,8,04/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
593.0,60.0,60.0,90.0,150.0,9,04/01/10 00:00:00,Herbal Tea,Lemon,Decaf
821.0,100.0,80.0,120.0,200.0,10,01/01/11 00:00:00,Herbal Tea,Mint,Decaf
777.0,50.0,40.0,60.0,100.0,2,01/01/10 00:00:00,Coffee,Columbian,Regular
768.0,50.0,40.0,60.0,100.0,2,03/01/10 00:00:00,Coffee,Columbian,Regular
829.0,80.0,70.0,90.0,160.0,2,10/01/10 00:00:00,Coffee,Columbian,Regular
834.0,60.0,50.0,80.0,130.0,2,11/01/10 00:00:00,Coffee,Columbian,Regular
776.0,50.0,40.0,60.0,100.0,2,04/01/11 00:00:00,Coffee,Columbian,Regular
822.0,60.0,50.0,80.0,130.0,2,06/01/11 00:00:00,Coffee,Columbian,Regular
851.0,80.0,70.0,90.0,160.0,3,10/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
863.0,50.0,40.0,60.0,100.0,3,12/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
842.0,90.0,70.0,110.0,180.0,3,06/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
342.0,50.0,40.0,70.0,110.0,5,04/01/10 00:00:00,Espresso,Caffe Mocha,Regular
351.0,50.0,40.0,70.0,110.0,5,05/01/10 00:00:00,Espresso,Caffe Mocha,Regular
371.0,40.0,40.0,60.0,100.0,5,06/01/10 00:00:00,Espresso,Caffe Mocha,Regular
380.0,30.0,30.0,50.0,80.0,5,07/01/10 00:00:00,Espresso,Caffe Mocha,Regular
321.0,30.0,40.0,60.0,100.0,5,11/01/10 00:00:00,Espresso,Caffe Mocha,Regular
400.0,80.0,50.0,100.0,150.0,5,01/01/11 00:00:00,Espresso,Caffe Mocha,Regular
372.0,70.0,50.0,90.0,140.0,5,02/01/11 00:00:00,Espresso,Caffe Mocha,Regular
329.0,70.0,30.0,70.0,100.0,5,10/01/11 00:00:00,Espresso,Caffe Mocha,Regular
320.0,20.0,30.0,50.0,80.0,5,12/01/11 00:00:00,Espresso,Caffe Mocha,Regular
388.0,40.0,30.0,60.0,90.0,6,04/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
462.0,20.0,30.0,40.0,70.0,6,07/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
454.0,30.0,30.0,60.0,90.0,6,11/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
466.0,20.0,30.0,50.0,80.0,6,12/01/10 00:00:00,Espresso,Decaf Espresso,Decaf
410.0,40.0,30.0,60.0,90.0,6,05/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
443.0,30.0,30.0,50.0,80.0,6,06/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
462.0,20.0,30.0,40.0,70.0,6,07/01/11 00:00:00,Espresso,Decaf Espresso,Decaf
593.0,40.0,40.0,60.0,100.0,8,06/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
564.0,110.0,80.0,130.0,210.0,8,10/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
540.0,70.0,80.0,110.0,190.0,8,12/01/10 00:00:00,Herbal Tea,Chamomile,Decaf
484.0,40.0,80.0,100.0,180.0,9,02/01/10 00:00:00,Herbal Tea,Lemon,Decaf
599.0,30.0,60.0,80.0,140.0,9,09/01/10 00:00:00,Herbal Tea,Lemon,Decaf
606.0,40.0,60.0,90.0,150.0,9,08/01/11 00:00:00,Herbal Tea,Lemon,Decaf
593.0,60.0,60.0,90.0,150.0,9,10/01/11 00:00:00,Herbal Tea,Lemon,Decaf
187.0,0.0,50.0,70.0,120.0,4,03/01/11 00:00:00,Espresso,Caffe Latte,Regular
-267.0,10.0,40.0,70.0,110.0,4,06/01/11 00:00:00,Espresso,Caffe Latte,Regular
-395.0,0.0,40.0,50.0,90.0,4,07/01/11 00:00:00,Espresso,Caffe Latte,Regular
-1053.0,0.0,40.0,60.0,100.0,4,12/01/11 00:00:00,Espresso,Caffe Latte,Regular
415.0,40.0,40.0,70.0,110.0,1,08/01/10 00:00:00,Coffee,Amaretto,Regular
411.0,50.0,50.0,80.0,130.0,1,11/01/11 00:00:00,Coffee,Amaretto,Regular
424.0,40.0,50.0,70.0,120.0,1,12/01/11 00:00:00,Coffee,Amaretto,Regular
428.0,30.0,30.0,50.0,80.0,2,08/01/10 00:00:00,Coffee,Columbian,Regular
384.0,30.0,40.0,60.0,100.0,2,05/01/11 00:00:00,Coffee,Columbian,Regular
414.0,20.0,40.0,50.0,90.0,2,06/01/11 00:00:00,Coffee,Columbian,Regular
432.0,30.0,30.0,50.0,80.0,2,07/01/11 00:00:00,Coffee,Columbian,Regular
424.0,40.0,40.0,70.0,110.0,2,11/01/11 00:00:00,Coffee,Columbian,Regular
509.0,20.0,50.0,80.0,130.0,3,09/01/10 00:00:00,Coffee,Decaf Irish Cream,Decaf
458.0,20.0,50.0,80.0,130.0,3,05/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
496.0,20.0,40.0,70.0,110.0,3,06/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
503.0,30.0,40.0,70.0,110.0,3,10/01/11 00:00:00,Coffee,Decaf Irish Cream,Decaf
1073.0,140.0,190.0,210.0,400.0,5,02/01/10 00:00:00,Espresso,Caffe Mocha,Regular
1091.0,140.0,190.0,210.0,400.0,5,01/01/11 00:00:00,Espresso,Caffe Mocha,Regular
1283.0,170.0,230.0,230.0,460.0,5,11/01/11 00:00:00,Espresso,Caffe Mocha,Regular
